questionId,caseStudy,question,correctAnswer,incorrectAnswers,exam
1,,Which of the following is best described as an alternative investment?,"Investments outside long-only public equities, investment-grade bonds, and cash equivalents.","Publicly traded large-cap equities and sovereign bonds held long-only|Any asset with daily liquidity, low fees, and transparent pricing.",CFA
2,,Traditional investments most likely include which set of asset classes?,"Public equities, investment-grade fixed income, and cash equivalents.","Private equity, hedge funds, and commodities.|Real estate, infrastructure, and farmland.",CFA
3,,Private capital is best defined as:,"Equity or debt financing for private companies, including private equity, venture capital, and private credit.",Ownership of physical assets such as real estate and infrastructure.|Trading liquid derivatives and securities using absolute-return strategies.,CFA
4,,Which of the following is most likely classified as a real asset?,Income-producing commercial property and essential infrastructure projects.,Buyout funds and growth equity vehicles.|Market-neutral long–short equity strategies.,CFA
5,,Which pair is most accurately classified as other alternative investments rather than private capital or real assets?,Hedge funds and managed futures.,Private equity and private debt|Infrastructure and farmland.,CFA
6,,"Which fund document most likely sets out capital commitments, fee terms, distributions, clawback provisions, and manager authority?",The Limited Partnership Agreement (LPA).,An investor-specific side letter|The subscription agreement executed by the LP.,CFA
7,A university endowment negotiates a fee discount and enhanced monthly reporting when committing to a private fund. The LPA permits investor-specific arrangements that are not materially adverse to the fund or other investors.,Which document is most appropriate to capture these investor-specific negotiated terms?,An investor-specific side letter.,The private placement memorandum (PPM).|The LP advisory committee (LPAC) charter.,CFA
8,,"To pool U.S. taxable, U.S. tax-exempt, and non-U.S. investors while centralizing trading, which hedge fund ownership structure is most appropriate?",A master–feeder fund structure.,A single onshore limited partnership only.|A closed-end buyout vehicle with capital calls.,CFA
9,,Which statement best describes the roles of general partners (GPs) and limited partners (LPs) in private equity funds?,The GP manages the fund and owes fiduciary duties; LPs supply capital with limited liability and limited governance rights.,LPs direct investments and owe fiduciary duties; the GP is a passive capital provider.|The GP and LP hold equal management authority and liabilities by default.,CFA
10,,Which statement is most accurate regarding ownership structure and investor liquidity for hedge funds versus venture capital funds?,"Venture capital funds are typically closed-end limited partnerships with committed capital, investment periods, and no routine redemptions.",Venture capital funds are typically open-end vehicles offering monthly subscriptions and r|Hedge funds are typically closed-end partnerships that call capital and distribute only at termination.edemptions.,CFA
100,"A man wants to run his own business. He has a unique selling idea which he is convinced will be a success, and not wishing to be derailed by business partners, is considering trading as a sole trader.
An accountant friend has told him that he should set up a private limited company and work through that, because his business could fail.",Which of the following statements is correct?,"If the man trades through a private company, he will not be liable for debts of the company.","If the man trades as a sole trader, any debts of the new business will be limited to the amount he initially invested.|If the man trades as a private limited company, he will be required to appoint a minimum of 2 directors.|If the man trades as a sole trader, he will be required to file public, annual accounts.|If the man trades as a sole trader, he will require a minimum initial capital of £50,000.",SQE
101,A husband and wife are the sole members in a limited liability partnership (‘LLP’). The husband dies suddenly in a car accident. The wife wishes to continue with the LLP.,Which of the following best describes the legal position concerning the continued existence of the LLP?,The LLP can admit a new member with the consent of the wife.,The LLP automatically dissolves as a result of the husband’s death.|The LLP automatically dissolves unless reconstituted within 28 days of the husband’s death.|The LLP can admit a new member but only with the consent of the wife and the husband’s executor or personal representative.|A new partnership agreement must be created between the wife and any new member.,SQE
102,Three friends have formed a private limited company together to run a website design business. One of the friends has a brother who is interested in buying £100-worth of shares in the company as he would like to be involved in the business. The mother of another friend would also like to supply the business with some stationery.,"In establishing such a company in England and Wales, what essential documentation must the friends submit to Companies House?",Memorandum of association and articles of association.,A memorandum of association.|Articles of association and a shareholders’ agreement.|Articles of association.|A shareholders’ agreement.,SQE
103,"A student and her cousin want to start a business selling gifts. The student has completed the first stage of her solicitor training, while her cousin is currently employed and can only contribute financially at first. They intend to sell online and at festivals, requiring significant financial investment for stock. They plan to recruit student workers who might later invest. The student aims to minimise drafting and registration costs with advice from her tutor. The cousin wants an active decision-making role and potential to generate an income to justify leaving her job. They prioritise personal asset protection. They consider options like sole traders, partnerships, private companies limited by guarantee, and private companies limited by shares.","Considering their needs and constraints, what is the most appropriate initial business structure?",Private company limited by shares.,Sole trader.|Partnership.|Private company limited by guarantee.|Limited Liability Partnership (LLP).,SQE
104,"A woman is setting up a new business as a sole trader providing consultancy services. To do so she will need to spend £10,000 on IT equipment. She does not have any savings and so will have to borrow this sum from her bank. The business is going to be run from the woman’s home.
After a year of trading, the woman is owed £5,000 by a client for unpaid invoices. The client is refusing to pay the invoices. There are no other outstanding invoices.",Which of the following statements best explains the financial position of the woman and her new business?,"The woman is personally liable for the £10,000 bank loan, and the unpaid £5,000 debt is her personal asset.","The woman is personally liable for the £10,000 bank loan only.|The woman is personally liable for the £10,000 bank loan and the unpaid £5,000 is an asset of the business.|The woman’s business is liable for the £10,000 bank loan, and the £5,000 debt is an asset of the business.|The woman’s business is liable for the £10,000 bank loan, and unpaid £5,000 is her personal asset.",SQE
105,"Two brothers have been running a business together for five years. They have no written partnership agreement.
The business is very successful and they decide to expand. To protect their personal assets they decide to set up a Limited Liability Partnership (‘LLP’). They employ a firm of solicitors to advise on the formation of the LLP. The solicitor who acts for them writes to say that she has applied for the LLP to be incorporated and that it will be incorporated in a few days.
The brothers are keen to start trading through the LLP immediately. They decide to place an order with a new supplier for £10,000 worth of goods. The supplier has no written terms and conditions.
The next day one of the brothers receives a letter from the solicitor saying that the LLP has been incorporated. He and the supplier are unaware that the other brother had signed the order the previous day, before the LLP had been incorporated.
The LLP has no written agreement.",Who is liable for the order for the goods?,Both the brothers and the supplier only.,The LLP only.|The LLP and the brother who signed the contract.|The LLP and both brothers.|The brother who signed the contract and the supplier only.,SQE
106,"A Publishing Limited (‘A Publishing’) is a private limited company. All of its shares are owned by its two individual directors. The directors want to raise equity finance for the business by making a public offering of shares. They understand that this means converting the company into a public limited company.
The directors want to retain control of the business, so the new shares will be non-voting shares.
The directors write to the company’s accountant to instruct her to start to make the necessary arrangements for the public offering of shares. The accountant is a qualified chartered accountant, but she has no experience of public offerings of shares. She consults a solicitor for advice in relation to this matter.
The solicitor advises the accountant that one of the following is required.",Which of the following options is the best advice for the solicitor to give?,Include the words 'public limited company' or 'plc' in the company’s name.,"The company must have at least three directors.|The company must have at least two directors and at least two shareholders.|The directors must adopt a new constitution approved by the shareholders.|The company must have a share capital of at least £100,000.",SQE
107,"A client is a web developer and has decided to leave her current employment to start a business selling tech accessories online. She will initially work from home and will be the sole owner of the business. However, she anticipates rapid growth and may want to take on a co-investor in the future, though she does not want to give up control over day-to-day decisions.
She does not want to make any public disclosure of the business’s finances at this stage, as she is concerned about competitors gaining insights into her margins. However, she would like to be seen as ""a legitimate business"" when seeking supplier contracts and business loans.
She has asked her solicitor for advice on the best business structure for her circumstances.",Which business structure would best suit the client?,Sole trader or private limited company.,Sole trader only.|Private limited company only.|Partnership or limited company.|Sole trader or LLP.,SQE
108,"A small technology company, initially established as a public limited company (PLC), has recently experienced financial difficulties.
To reduce administrative burdens and costs, the directors wish to re-register as a private limited company (LTD).
The company currently has two directors, a qualified company secretary, and three shareholders. The directors have passed a special resolution to re-register, amended the articles appropriately, and submitted the necessary documents to Companies House, including the prescribed fee.
However, the directors overlooked changing the company's name from ending with 'PLC' to 'LTD'.",What is the effect of failing to change the company's name when re-registering from a public to a private company?,The Registrar will reject the application and require resubmission with the correct name.,"The re-registration is invalid until the name is correctly changed.|The company is automatically re-registered, but must rectify the name within 14 days.|The company remains a public limited company until the name is formally amended.|The re-registration is valid, but the directors commit an offence and may be fined.",SQE
109,"Three individuals establish a private company limited by shares to operate a furniture manufacturing business. Initially, each holds an equal shareholding and acts as a director. After two years, two directors resign, leaving only one director who now holds 60% of the shares. The remaining 40% of shares are held equally by two passive investors who have no involvement in daily management. The company has never offered shares publicly and has no intention to do so. The sole remaining director wishes to understand the implications of the current shareholding structure, particularly regarding potential tax treatment and statutory obligations.",What is the best advice you can give to the sole remaining director?,The company is required to be classified as a close company.,The company is required to appoint a qualified secretary immediately.|The company is required to re-register as a public limited company due to concentrated ownership.|The company is required to make additional disclosures to the passive investors.|The company is required to appoint at least one additional director.,SQE
110,"A group of three individuals plan to set up a consultancy advising on environmental compliance. One individual is a retired solicitor with extensive legal expertise but no longer holds a practising certificate. Another is a qualified environmental scientist who is currently employed part-time at a university and intends to continue in that role. The third individual is a recent graduate with limited experience but significant personal capital to invest. They anticipate modest profits initially, but expect rapid growth within two years. They wish to minimise administrative burdens and costs initially, but also want flexibility to attract external investors and potentially offer equity incentives to future employees.",Which business structure is most appropriate?,Private limited company limited by shares,Limited liability partnership (LLP)|General partnership|Private limited company limited by guarantee|Limited partnership,SQE
111,"A woman runs a successful online clothing boutique as a sole trader. She has recently expanded her product range significantly, sourcing items from multiple overseas suppliers. Her business has grown rapidly, and she now employs three part-time staff members. She has recently taken out a substantial business loan to finance additional stock and marketing initiatives. Her accountant has advised her to consider alternative business structures, highlighting potential tax implications and liability risks. However, she values simplicity and control, and is hesitant to change her current structure. Additionally, she has recently purchased comprehensive insurance coverage to mitigate potential liabilities.",Which factor most strongly justifies her continuing as a sole trader?,The comprehensive insurance coverage recently purchased,The recent expansion of her product range from overseas suppliers|Her employment of three part-time staff members|The substantial business loan taken out for stock and marketing|The accountant's advice regarding tax implications and liability risks,SQE
112,"Anna, Ben, and Carl established ABC Consulting, a limited liability partnership (LLP), to provide financial advisory services. Anna and Ben actively manage the business, regularly meeting clients and making strategic decisions. Carl is a passive member who invested capital but does not participate in daily operations. Recently, Anna signed a costly three-year software subscription agreement without consulting Ben or Carl, contrary to an internal LLP agreement requiring unanimous approval for contracts exceeding 12 months. Additionally, Carl personally guaranteed a separate bank loan unrelated to this software subscription. The LLP is now struggling financially, and the software provider is demanding payment under the agreement. Carl argues he should not be liable for the software debt because he had no involvement in the decision-making.","In relation solely to Carl's liability for the LLP's debt to the software provider, which of the following statements is most accurate?",Carl is not personally liable as limited liability protection applies regardless of internal breaches of the LLP agreement.,"Carl is personally liable because he personally guaranteed another LLP debt, indicating consent to obligations generally.|Carl is personally liable because Anna violated the internal agreement requiring unanimous approval for contracts exceeding 12 months.|Carl is personally liable because passive members lose limited liability protection if substantial contracts are signed without their knowledge.|Carl is not personally liable because he had no active participation in signing the software subscription contract.",SQE
113,"Pauline, an experienced chef, has recently left her employment at a prestigious hotel to launch a catering business. She intends to operate from her home kitchen, using personal savings to fund the startup. Pauline prefers minimal administrative obligations and expects modest initial profits. She is particularly concerned about her personal assets, including her fully-owned home. Additionally, Pauline has heard from a friend that incorporating a business might offer tax advantages but worries that maintaining corporate compliance could be burdensome. She recently read about new tax reporting requirements for sole traders in food businesses, creating uncertainty about compliance obligations.","Given Pauline's circumstances and concerns, what is the most significant disadvantage she will face by operating as a sole trader?",Unlimited personal liability for debts incurred by the business,Limited ability to offset business expenses against tax due to new regulations.|Obligation to file detailed annual financial disclosures publicly|Limited autonomy in operational decision-making compared to incorporated businesses|Requirement to comply with complex corporate governance standards,SQE
114,"Oliver and Priya have been running a successful partnership specialising in bespoke furniture design. Due to increased demand, they plan to expand operations, hiring several employees and possibly leasing new premises. Oliver seeks limited liability protection, while Priya emphasises the importance of operational flexibility and minimal administrative burdens. Their accountant also mentions potential tax implications related to incorporation and brings up considerations surrounding employee benefits and pensions. Although they briefly discuss raising external capital, Oliver and Priya agree their immediate plans do not require public investment, but remain open to the possibility in the distant future.","Considering Oliver and Priya's stated objectives and current circumstances, which would be the single most appropriate business structure for them at this stage?",Limited liability partnership (LLP),General partnership|Private limited company (Ltd)|Public limited company (PLC)|Sole trader,SQE
115,"Imran and Priya, experienced architects, plan to establish a new architectural practice, anticipating significant initial expenditure such as leasing premises, employing staff, and purchasing specialist software. Priya possesses considerable personal assets from a family inheritance and shares in a profitable family enterprise, while Imran has fewer assets and previously owned a business that became insolvent due to adverse market conditions. They insist on flexibility in management decisions, the ability to access debt financing, and minimal regulatory obligations, yet have received conflicting advice on tax implications and partnership liability structures. Priya also intends to invest additional capital but is concerned about protecting her personal wealth.","Given Imran and Priya's objectives and concerns, which of the following business structures is most suitable for their new architectural practice?",Limited liability partnership (LLP),General partnership|Limited partnership|Private limited company (Ltd)|Unincorporated joint venture arrangement,SQE
116,"A woman operates a successful consultancy business as a sole trader. She now wishes to expand her operations by bringing in two additional individuals. One individual will contribute significant capital but will not participate in daily management. The other individual will actively manage the business alongside the woman but will not contribute any capital. The woman is concerned about personal liability, tax efficiency, and the ease of transferring ownership interests in the future. Additionally, she has an outstanding loan secured against her personal residence, which was used to finance the initial business setup. She also holds professional indemnity insurance, and the consultancy regularly handles sensitive client data.",Which business structure is most appropriate?,Private Limited Company limited by shares,Limited Liability Partnership|General Partnership|Private Limited Company limited by guarantee|Limited Partnership,SQE
